Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;237.1699693999999;None;238.50633040000048;238.79592440000033;238.79592440000033;238.82074190000003;238.82074190000003;238.86143840000022;238.86143840000022;None;8;0;238.86143840000022;None;240.36248290000003;None;['8'];[0.6808552000002237];240.36248290000003;None;1.2779525999994803;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;243.36171040000045;None;244.7527313999999;245.04583730000013;245.04583730000013;245.19589090000045;245.19589090000045;245.23656870000013;245.23656870000013;None;7;1;245.23656870000013;None;246.73678269999982;None;['7'];[0.49854119999963586];246.73678269999982;None;1.0388001000001168;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;249.73695080000016;None;251.3549863999997;251.64644940000017;251.64644940000017;251.6625598999999;251.6625598999999;251.70345180000004;251.70345180000004;None;8;0;251.70345180000004;None;253.2034603000002;None;['7'];[0.7998422000000573];253.2034603000002;None;1.0438218999997844;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;256.20378230000006;None;257.7911444000001;258.08000020000054;258.08000020000054;258.0960431000003;258.0960431000003;258.13689390000036;258.13689390000036;None;None;0;258.13689390000036;None;259.63703520000035;None;['9'];[0.4382113000001482];259.63703520000035;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;162;block1_Pilot_2;12;s_n;s_n_strong;;;;;0;0;0;0;0;31;31;31;;;;;;;;;262.63807950000046;None;263.9913803999998;264.2878903000001;264.2878903000001;264.3128164;264.3128164;264.3536893999999;264.3536893999999;None;None;0;264.3536893999999;None;265.8536935000002;None;['9'];[1.133449500000097];265.8536935000002;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;012_o_f_s_a.jpg;sad;7;16;m;016_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;1;238;block1_Pilot_2;12;s_h;s_h_strong;;;;;0;0;0;0;0;32;32;32;;;;;;;;;268.8549939000004;None;270.8401977000003;271.1378741999997;271.1378741999997;271.14617999999973;271.14617999999973;271.18717040000047;271.18717040000047;None;None;0;271.18717040000047;None;272.6872849000001;None;['9'];[0.5400097000001551];272.6872849000001;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;028_y_f_n_a.jpg;neutral;8;21;f;021_o_f_n_a.jpg;neutral;congruent;8;match;;140;170;;3;220;block1_Pilot_2;28;n_n;n_n_weak;;;;;0;0;0;0;0;33;33;33;;;;;;;;;275.6877411000005;None;277.56686290000016;277.8635886000002;277.8635886000002;277.8881505999998;277.8881505999998;277.9289233999998;277.9289233999998;None;8;1;277.9289233999998;None;279.42905690000043;None;['7'];[0.8063328999996884];279.42905690000043;None;1.0103139000002557;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;040_y_f_h_a.jpg;happy;9;33;m;033_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;194;block1_Pilot_2;40;h_s;h_s_weak;;;;;0;0;0;0;0;34;34;34;;;;;;;;;282.42995859999974;None;284.0538214999997;284.3467701999998;284.3467701999998;284.36316890000035;284.36316890000035;284.4040667999998;284.4040667999998;None;9;0;284.4040667999998;None;285.90396190000047;None;['7'];[1.2752669999999853];285.90396190000047;None;1.327166500000203;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;028_y_f_h_a.jpg;happy;9;8;m;008_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;162;block1_Pilot_2;28;h_n;h_n_weak;;;;;0;0;0;0;0;35;35;35;;;;;;;;;288.90482169999996;None;290.26670680000007;290.5550511000001;290.5550511000001;290.58003160000044;290.58003160000044;290.62090869999975;290.62090869999975;None;9;0;290.62090869999975;None;292.1208864;None;['7'];[1.2744305000005625];292.1208864;None;1.3023859999993874;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;013_y_m_n_a.jpg;neutral;8;27;m;027_o_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;126;block1_Pilot_2;13;n_n;n_n_strong;;;;;0;0;0;0;0;36;36;36;;;;;;;;;295.12159820000034;None;296.2306411999998;296.52242920000026;296.52242920000026;296.53848070000004;296.53848070000004;296.57924790000015;296.57924790000015;None;8;1;296.57924790000015;None;298.07935929999985;None;['8'];[0.9878830999996353];298.07935929999985;None;1.4000286000000415;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
