Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;242.16844090004452;None;243.21185720013455;243.50234450004064;243.50234450004064;243.51846559997648;243.51846559997648;243.55930970003828;243.55930970003828;None;None;0;243.55930970003828;None;245.05919710011221;None;['9'];[0.522880099946633];245.05919710011221;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;248.06024789996445;None;249.39638060005382;249.685468000127;249.685468000127;249.7102946001105;249.7102946001105;249.75111080007628;249.75111080007628;None;7;1;249.75111080007628;None;251.2515617001336;None;['8'];[0.48252810002304614];251.2515617001336;None;1.1668090000748634;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;254.2521830999758;None;255.6404289000202;255.93552709999494;255.93552709999494;256.08540800004266;256.08540800004266;256.1262229999993;256.1262229999993;None;7;1;256.1262229999993;None;257.6262549001258;None;['7'];[0.6439773000311106];257.6262549001258;None;0.6956865000538528;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;260.627134000184;None;262.19911719998345;262.4941763000097;262.4941763000097;262.51063690008596;262.51063690008596;262.55140050011687;262.55140050011687;None;8;0;262.55140050011687;None;264.05134520004503;None;['8'];[0.44277639989741147];264.05134520004503;None;0.9826509999111295;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;267.0519159999676;None;268.6369436001405;268.92796120001003;268.92796120001003;268.9439910000656;268.9439910000656;268.98479090002365;268.98479090002365;None;8;1;268.98479090002365;None;270.48476170003414;None;['8'];[0.6973854000680149];270.48476170003414;None;0.8612776000518352;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;162;block1_Pilot_2;12;s_n;s_n_strong;;;;;0;0;0;0;0;31;31;31;;;;;;;;;273.4857624999713;None;274.83895030012354;275.1358678000979;275.1358678000979;275.16077790013514;275.16077790013514;275.2015546001494;275.2015546001494;None;7;0;275.2015546001494;None;276.701801400166;None;['8'];[0.33617680007591844];276.701801400166;None;1.1244980001356453;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;012_o_f_s_a.jpg;sad;7;16;m;016_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;1;238;block1_Pilot_2;12;s_h;s_h_strong;;;;;0;0;0;0;0;32;32;32;;;;;;;;;279.7024801000953;None;281.6874716000166;281.98589360015467;281.98589360015467;281.9943085999694;281.9943085999694;282.0351721001789;282.0351721001789;None;None;0;282.0351721001789;None;283.5353596000932;None;['9'];[0.30275120004080236];283.5353596000932;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_n_a.jpg;neutral;8;21;f;021_o_f_n_a.jpg;neutral;congruent;8;match;;140;170;;3;220;block1_Pilot_2;28;n_n;n_n_weak;;;;;0;0;0;0;0;33;33;33;;;;;;;;;286.53692220011726;None;288.38900290010497;288.6782450999599;288.6782450999599;288.70270270016044;288.70270270016044;288.7435067000333;288.7435067000333;None;8;1;288.7435067000333;None;290.24363630008884;None;['8'];[0.27450890000909567];290.24363630008884;None;0.5746253000106663;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_h_a.jpg;happy;9;33;m;033_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;194;block1_Pilot_2;40;h_s;h_s_weak;;;;;0;0;0;0;0;34;34;34;;;;;;;;;293.2444356000051;None;294.8681322000921;295.1612378000282;295.1612378000282;295.1779267999809;295.1779267999809;295.21878770017065;295.21878770017065;None;9;0;295.21878770017065;None;296.7186163000297;None;['8'];[0.3434810000471771];296.7186163000297;None;0.6593967000953853;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_h_a.jpg;happy;9;8;m;008_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;162;block1_Pilot_2;28;h_n;h_n_weak;;;;;0;0;0;0;0;35;35;35;;;;;;;;;299.71867870003916;None;301.07877430017106;301.369872600073;301.369872600073;301.39485629997216;301.39485629997216;301.43549529998563;301.43549529998563;None;9;0;301.43549529998563;None;302.93560890015215;None;['7'];[0.2542885998263955];302.93560890015215;None;0.44263139995746315;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
