trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,153.72143450006843,154.01547748008744,154.0353441000916,154.1671253800858,154.17052659997717,154.20941898012535,154.2124904000666,154.5921673799865,d,1,0.3728432999923825,372.8432999923825,154.2124904000666,154.5921673799865,154.59976720018312,155.71551018017345,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,155.72112830006517,156.01541118016468,156.03171310015023,156.16702848016286,156.17073939996772,156.20890348004178,156.21214960003272,156.5309338799678,d,1,0.309172400040552,309.172400040552,156.21214960003272,156.5309338799678,156.53930629999377,157.95710998000578,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,157.96114749996923,158.25705898012967,158.5059691001661,158.66193158011885,158.66663510003127,158.7087696799543,158.71390400012024,159.45748678008096,s,1,0.7274379001464695,727.4379001464695,158.71390400012024,159.45748678008096,159.46428110008128,161.30724208005705,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,161.31338040018454,161.6071150800679,161.62153130001388,161.7590839801822,161.7636546001304,161.8043296799995,161.80974160018377,162.16532138008625,d,1,0.34359299996867776,343.59299996867776,161.80974160018377,162.16532138008625,162.1768651001621,163.18232928002254,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,163.18785980017856,163.48233468011023,163.5073869000189,163.5301230800804,163.5306423001457,163.56665348000826,163.5681605001446,165.18156708003954,None,0,,,163.5681605001446,165.18156708003954,165.18541080015711,166.63221908006818,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,166.6363594001159,166.9322569800541,167.19097100012004,167.21851248010063,167.22211360000074,167.26296968008393,167.26815939997323,167.96082608001308,a,1,0.6853751000016928,685.3751000016928,167.26815939997323,167.96082608001308,167.9726048000157,169.00736078009942,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,3,1,169.01112670009024,169.30730748008938,169.50852650008164,169.53437737999485,169.53414810006507,169.56883317995818,169.56967680016533,170.4159778800793,s,1,0.8315040001180023,831.5040001180023,169.56967680016533,170.4159778800793,170.4196006001439,172.09078648006545,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,172.0949236000888,172.390728080133,172.61695250007324,172.64242848004216,172.64255870017223,172.67853588000872,172.6783057001885,173.41105218017475,s,1,0.7230289001017809,723.0289001017809,172.6783057001885,173.41105218017475,173.4204963000957,175.31578878005968,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,175.31984980008565,175.6157932800241,175.83674539998174,175.86272947997787,175.86308680009097,175.90040007997305,175.90035590017214,176.61929318001495,s,1,0.7089432999491692,708.9432999491692,175.90035590017214,176.61929318001495,176.62666010018438,178.45755598014222,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,178.4631292000413,178.75752378017643,179.00059309997596,179.0262830801774,179.02723030000925,179.06255708001555,179.06294950004667,179.77509818011896,s,1,0.6986794997937977,698.6794997937977,179.06294950004667,179.77509818011896,179.78612220007926,181.10756207997912,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,181.11160239996389,181.40756248002873,181.64544440014288,181.80156928016805,181.80520380008966,181.84288467997686,181.84613760001957,182.35022628000007,s,1,0.49171740002930164,491.71740002930164,181.84613760001957,182.35022628000007,182.36125950003043,183.74101548008622,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
