trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,7.0,f,012_o_f_s_a.jpg,sad,a,17,3,1047.5760577,1047.8708554799982,1047.8948458999985,1048.0309776799972,1048.0329531999996,1048.0721312800001,1048.0739713999974,1048.5717175799969,a,1,1048.0739713999974,1048.5717175799969,1048.5811116999976,1049.8541828799994,0.4893534000002546,489.3534000002546,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,7.0,f,012_o_f_h_a.jpg,happy,d,17,3,1049.857878699997,1050.1541902800004,1050.1743578999994,1050.305901479997,1050.309427199998,1050.3471359799973,1050.3508469999979,1050.7860317799991,d,1,1050.3508469999979,1050.7860317799991,1050.7976538999974,1052.3376407799974,0.42854609999994864,428.54609999994864,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,10.0,f,028_y_f_n_a.jpg,neutral,s,17,3,1052.3421036,1052.6376026799976,1052.8450971999991,1052.9992903799998,1053.0036222999988,1053.0447250799975,1053.0495556999995,1053.65891538,s,1,1053.0495556999995,1053.65891538,1053.6665517000001,1054.837564879998,0.5937954999972135,593.7954999972135,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9.0,f,021_o_f_n_a.jpg,neutral,s,1,3,1054.8404897,1055.1376832800001,1055.333020799997,1055.3413649799973,1055.341852499998,1055.3767496799978,1055.3765502999995,1056.964825079997,None,0,1055.3765502999995,1056.964825079997,1056.969654499997,1058.2127440799982,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,1058.215683399998,1058.5127458800002,1058.5350811999997,1058.54342538,1058.5437821999985,1058.5804690799982,1058.5805753999994,1060.1993031799998,None,0,1058.5805753999994,1060.1993031799998,1060.203435899999,1062.1044816799972,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1.0,m,004_o_m_s_a.jpg,sad,a,1,3,1062.1085617999997,1062.4045051799972,1062.4245856999987,1062.432929879999,1062.4328705999978,1062.4666294799995,1062.466321699998,1064.0834197799982,None,0,1062.466321699998,1064.0834197799982,1064.0884544,1065.9045631799986,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,7.0,f,012_o_f_n_a.jpg,neutral,s,1,3,1065.910701599998,1066.2045785799987,1066.428054,1066.4363981800002,1066.437024499999,1066.4723684799997,1066.4724494999973,1068.0918667799983,None,0,1066.4724494999973,1068.0918667799983,1068.0958298999976,1069.6296650799982,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4.0,m,016_y_m_h_a.jpg,happy,d,17,3,1069.6355853999994,1069.9295120800002,1069.9506514999994,1070.0813984799993,1070.0831838999984,1070.12265548,1070.1244544,1070.57929208,d,1,1070.1244544,1070.57929208,1070.5861173999983,1072.47967508,0.4388265000015963,438.8265000015963,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5.0,m,027_o_m_s_a.jpg,sad,a,17,3,1072.4826108999987,1072.7796335799999,1072.7988052,1072.931352979997,1072.9334313,1072.9726290799977,1072.9756314999977,1073.4108475799972,a,1,1072.9756314999977,1073.4108475799972,1073.4191267999995,1074.6047811800004,0.41985050000221236,419.85050000221236,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3.0,m,013_y_m_s_a.jpg,sad,a,17,3,1074.6088640999988,1074.9047674799972,1074.9306808000001,1075.064793879998,1075.0680439999996,1075.1058759799985,1075.1092522,1075.62373428,a,1,1075.1092522,1075.62373428,1075.6328575999978,1077.34644308,0.5022542000006069,502.25420000060694,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
