trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,633.3065825000001,633.60662123,633.6193761,633.74999983,633.7500164,633.79127143,633.7910546,634.2824418299999,d,1,0.47922810000000027,479.22810000000027,633.7910546,634.2824418299999,634.2852680000001,636.17338483,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,636.1734891000001,636.47329853,636.4829814,636.50544423,636.5057251000001,636.5421626299999,636.5420636000001,637.00718953,d,1,0.45639550000009876,456.39550000009876,636.5420636000001,637.00718953,637.0103240999999,638.48191073,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,638.4818025,638.78179583,639.0335977,639.1858565299999,639.1863209999999,639.2225781300001,639.2226373000001,639.7739322299999,s,1,0.5437211000000843,543.7211000000843,639.2226373000001,639.7739322299999,639.7768461000001,641.3234063299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,641.3240705000001,641.6235109300001,641.6355807,641.76695973,641.7676761,641.80823403,641.8076366,642.18510513,d,1,0.36688390000017534,366.88390000017534,641.8076366,642.18510513,642.1963122,644.06549133,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,644.0698167,644.3654821299999,644.3908527000001,644.5255433299999,644.5286864,644.5667884300001,644.5699004,645.14777723,d,1,0.5645693999999821,564.5693999999821,644.5699004,645.14777723,645.1568480999999,646.6822212300001,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,646.687891,646.98225693,647.2317158999999,647.3909853299999,647.3940193000001,647.43030133,647.430071,648.09185843,a,1,0.6487068999999792,648.7068999999792,647.430071,648.09185843,648.1015205000001,650.0490424300001,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,17,1,650.0532306,650.34906353,650.5529096,650.71189443,650.7124094000001,650.7502490300001,650.7502630000001,651.17499653,s,1,0.4161594999998215,416.1594999998215,650.7502630000001,651.17499653,651.1827210000001,652.4739671299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,652.4759042999999,652.7736183300001,652.9774811,653.1473741299999,653.1519558,653.19196323,653.1970672,653.6778196299999,s,1,0.4655660999999327,465.5660999999327,653.1970672,653.6778196299999,653.6883095999999,654.8654162299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,654.8655681,655.16547083,655.3754606,655.4025758299999,655.4026216,655.43881113,655.4388518000001,655.9242801299999,s,1,0.4714658000000327,471.4658000000327,655.4388518000001,655.9242801299999,655.9279406,657.23256193,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,657.2323996,657.53089643,657.7927437000001,657.92891403,657.9283250999999,657.96536003,657.9642692,658.3644906300001,s,1,0.3860494999998991,386.0494999998991,657.9642692,658.3644906300001,658.3656258999999,659.56400173,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,659.5639713,659.86398603,660.0949258999999,660.23235843,660.2314917000001,660.26559733,660.2644115,660.66492563,s,1,0.3898563000000195,389.8563000000195,660.2644115,660.66492563,660.6683717999999,661.71427533,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11.0,f,030_o_f_n_a.jpg,neutral,s,3,1,661.7142428,662.0150575299999,662.2163939,662.24154133,662.2418718000001,662.27431043,662.2733122,662.89865343,s,1,0.6129363000000012,612.9363000000012,662.2733122,662.89865343,662.9012179000001,664.67250223,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,664.6725982,664.97234273,665.1789099,665.2029240300001,665.2012639,665.24038243,665.2390671,665.8562834300001,d,1,0.6074681000000055,607.4681000000055,665.2390671,665.8562834300001,665.8581331,666.9144675299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
