trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,537.0379107000772,537.3340032900102,537.357821200043,537.4939133900567,537.4973286000313,537.5352322900086,537.5387943000533,538.041334090021,d,1,0.4879587000468746,487.9587000468746,537.5387943000533,538.041334090021,538.0530512999976,539.3923844900797,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,539.3979140000883,539.6924298900063,539.7165733000729,539.73901489001,539.7396438000724,539.7768532900024,539.776765900082,540.2986711900099,d,1,0.5139775000279769,513.9775000279769,539.776765900082,540.2986711900099,540.3081795000471,541.4840753900004,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,541.4880650000414,541.7840672901017,542.0244053000351,542.180362190085,542.1845583000686,542.2256709900336,542.2310337000526,542.9104275900987,s,1,0.6677971999160945,667.7971999160945,542.2310337000526,542.9104275900987,542.9188878000714,544.5092231901014,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,544.515175800072,544.8092182899942,544.8357970999787,544.8586669900338,544.8593532000668,544.8935125900549,544.8937565999804,545.666555490077,d,1,0.7649822999956086,764.9822999956086,544.8937565999804,545.666555490077,545.6756108000409,547.2508979900391,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,547.2549251000164,547.5509583900799,547.5732635000022,547.7110063900124,547.7144417000236,547.7521052900353,547.7555672000162,548.1380266900757,d,1,0.3671862999908626,367.1862999908626,547.7555672000162,548.1380266900757,548.148806400015,550.0342319900752,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,3,1,550.0382401000243,550.3342971900362,550.7437178000109,550.7705655900878,550.7714853000361,550.8062272900366,550.8067564000376,552.3228938900517,a,1,1.4999588000355288,1499.9588000355288,550.8067564000376,552.3228938900517,552.3310107000871,553.9260493900744,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,3,1,553.9301849000622,554.2260134900804,554.435375800007,554.4608007900766,554.4608878000872,554.49644649002,554.4960689999862,555.3214373900206,s,1,0.8107015000423416,810.7015000423416,554.4960689999862,555.3214373900206,555.3309089000104,556.7512015900226,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,556.7567916000262,557.0510956900777,557.280165300006,557.305502989993,557.3057040000567,557.3436347900075,557.3475791000528,557.9283914900967,s,1,0.5672640999546275,567.2640999546275,557.3475791000528,557.9283914900967,557.9396134000272,559.3177028899896,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,559.3207184000639,559.6178761900752,559.8337745000608,559.8592442900059,559.8596972000087,559.8942311900552,559.8956627000589,560.5890096900636,s,1,0.6830806999932975,683.0806999932975,559.8956627000589,560.5890096900636,560.5965616999893,562.5262112900033,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,562.5315891000209,562.8262341899914,563.0649144999916,563.2337796900771,563.2384718999965,563.2799293900258,563.28527880006,563.6819981900859,s,1,0.3817096999846399,381.7096999846399,563.28527880006,563.6819981900859,563.6925349000376,565.4346184900147,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
