trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,128.75062890001573,129.04639497997704,129.07270859996788,129.2062664799625,129.20799050014466,129.24752828006166,129.25073540001176,129.84891358010935,d,1,129.25073540001176,129.84891358010935,129.85831130016595,130.89636318006086,0.5847506001591682,584.7506001591682,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,130.90184740000404,131.196465680073,131.2198522000108,131.35637238009366,131.35986460000277,131.39767648016567,131.40058720018715,132.09479068003128,d,1,131.40058720018715,132.09479068003128,132.10575089999475,133.71316557999234,0.6829230000730604,682.9230000730604,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,133.7174383001402,134.01306998000945,134.2687179001514,134.29468938002827,134.2992701001931,134.3392968801083,134.34427330014296,135.22811757999006,s,1,134.34427330014296,135.22811757999006,135.23569110012613,136.67146658005657,0.8751688001211733,875.1688001211733,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,136.67572319996543,136.97147478016558,137.00088659999892,137.02359847996848,137.02434790018015,137.05936418001073,137.0596499000676,138.0056963799754,d,1,137.0596499000676,138.0056963799754,138.0081301999744,139.77988297997507,0.9358085999265313,935.8085999265313,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,139.7841553001199,140.07986998015548,140.10508860019036,140.23987258009146,140.24306210014038,140.28122018014545,140.2846564000938,140.6199398801429,d,1,140.2846564000938,140.6199398801429,140.63101130002178,142.154952080152,0.3269994000438601,326.9994000438601,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,142.16050200001337,142.45497978006023,142.7066949000582,142.86567047999705,142.86920010019094,142.90623958006034,142.9091990001034,143.6198534801835,a,1,142.9091990001034,143.6198534801835,143.6283420000691,145.0300927801756,0.7023493000306189,702.3493000306189,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,3,1,145.03544300002977,145.33009418,145.53666860004887,145.5621618800098,145.56279220012948,145.59789138000923,145.59933570004068,146.29912528016138,s,1,145.59933570004068,146.29912528016138,146.30780940013938,147.8968158801319,0.6922152999322861,692.2152999322861,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,147.9020746999886,148.1967704800656,148.4184547001496,148.44359617999288,148.4438903001137,148.48132868011015,148.48248810018413,149.15548167999367,s,1,148.48248810018413,149.15548167999367,149.16709910007194,150.6218740799697,0.6653295001015067,665.3295001015067,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,150.6279168999754,150.9218126800144,151.1374538000673,151.1636883799685,151.16387480008416,151.20087758002336,151.20076770009473,151.87098288016858,s,1,151.20076770009473,151.87098288016858,151.87852820008993,152.89689688005018,0.6587171000428498,658.7171000428498,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,152.90013460000046,153.19679258011746,153.44241780019365,153.4679520800011,153.4682828001678,153.50413688009138,153.50559790013358,154.397291080025,s,1,153.50559790013358,154.397291080025,154.4036969000008,155.58865148008334,0.8818548999261111,881.8548999261111,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
