trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3.0,m,013_y_m_s_a.jpg,sad,a,17,3,1216.4041627999395,1216.6990313599586,1216.71519729984,1216.8505957599032,1216.8537890999578,1216.891900159861,1216.894743300043,1217.6735289599515,a,1,1216.894743300043,1217.6735289599515,1217.6800042998511,1219.3907012599288,0.7713643000461161,771.3643000461161,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,10.0,f,028_y_f_n_a.jpg,neutral,s,17,3,1219.3946004000027,1219.6907745599515,1219.898158799857,1220.063510259823,1220.0682504000142,1220.1092193599093,1220.1143465000205,1220.633800660004,s,1,1220.1143465000205,1220.633800660004,1220.6429953998886,1221.940725960047,0.5037829000502825,503.7829000502825,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,11.0,f,030_o_f_s_a.jpg,sad,a,1,3,1221.9447965999134,1222.2408360598843,1222.4394799999427,1222.447836159938,1222.4485359999817,1222.4836134598359,1222.483402499929,1224.0591640600237,None,0,1222.483402499929,1224.0591640600237,1224.0645953000057,1225.257518959907,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,10.0,f,028_y_f_h_a.jpg,happy,d,17,3,1225.261546799913,1225.557516460051,1225.580672599841,1225.717558359937,1225.720838899957,1225.7586985600415,1225.761392599903,1226.5223914598814,d,1,1225.761392599903,1226.5223914598814,1226.5313251998741,1227.6075634599897,0.7445900000166148,744.5900000166148,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,5.0,m,027_o_m_n_a.jpg,neutral,s,17,3,1227.6117740999907,1227.9075540599647,1228.1210837999824,1228.280877860007,1228.2850430000108,1228.3259137598566,1228.3310288998764,1230.1580405598274,None,0,1228.3310288998764,1230.1580405598274,1230.1643868000247,1231.4493316600333,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,10.0,f,028_y_f_h_a.jpg,happy,d,1,3,1231.4536110998597,1231.7493636598579,1231.7741517999675,1231.782507959963,1231.7844004998915,1231.8213183600224,1231.8229805000592,1233.4024630598492,None,0,1231.8229805000592,1233.4024630598492,1233.4065367998555,1234.6077760599787,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,8.0,f,019_m_f_n_a.jpg,neutral,s,1,3,1234.6107671998907,1234.9076933599777,1235.1581021000165,1235.166458260012,1235.1674315999262,1235.2082118598978,1235.213403899921,1237.0436835598434,None,0,1235.213403899921,1237.0436835598434,1237.0511155999266,1238.2743625598728,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,8.0,f,019_m_f_s_a.jpg,sad,a,1,3,1238.2772784999106,1238.5743791600457,1238.797997900052,1238.8063540600474,1238.807196599897,1238.8476391599747,1238.8525201999582,1240.5465642600088,None,0,1238.8525201999582,1240.5465642600088,1240.5506110999268,1241.6244389598492,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,8.0,f,019_m_f_n_a.jpg,neutral,s,17,3,1241.6273184998427,1241.9245257598582,1242.1628637998365,1242.3248006598792,1242.3295715998393,1242.3678808598547,1242.3724328000098,1243.0934552598978,s,1,1242.3724328000098,1243.0934552598978,1243.1036356999539,1244.2747253598413,0.709802099969238,709.802099969238,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,12.0,f,040_y_f_s_a.jpg,sad,a,17,3,1244.2801081000362,1244.5746828599135,1244.6005779998377,1244.7346229599557,1244.7397037998307,1244.7803926600377,1244.7856105000246,1245.7204601599137,s,0,1244.7856105000246,1245.7204601599137,1245.7282626999076,1247.008004059992,0.9204213998746127,920.4213998746127,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
