Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;235.65354930004105;None;236.69748000008985;236.9882189000491;236.9882189000491;237.00446140021086;237.00446140021086;237.0454614001792;237.0454614001792;None;None;0;237.0454614001792;None;238.54532100004144;None;None;238.54532100004144;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;241.54611550015397;None;242.88367550005205;243.1795776002109;243.1795776002109;243.20453360001557;243.20453360001557;243.24494060012512;243.24494060012512;None;None;0;243.24494060012512;None;244.74544910015538;None;None;244.74544910015538;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;247.74555230000988;None;249.1357830001507;249.4295442001894;249.4295442001894;249.57954660011455;249.57954660011455;249.62029800005257;249.62029800005257;None;None;0;249.62029800005257;None;251.12059530010447;None;None;251.12059530010447;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;254.12036150018685;None;255.74554550019093;256.0381730000954;256.0381730000954;256.0543760000728;256.0543760000728;256.0950933001004;256.0950933001004;None;None;0;256.0950933001004;None;257.59522720007226;None;None;257.59522720007226;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;260.59579590009525;None;262.1814785001334;262.4719877000898;262.4719877000898;262.4879732001573;262.4879732001573;262.52906990004703;262.52906990004703;None;None;0;262.52906990004703;None;264.02886240021326;None;None;264.02886240021326;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;162;block1_Pilot_2;12;s_n;s_n_strong;;;;;0;0;0;0;0;31;31;31;;;;;;;;;267.0290035000071;None;268.38354180008173;268.6797098000534;268.6797098000534;268.704662400065;268.704662400065;268.7456164001487;268.7456164001487;None;None;0;268.7456164001487;None;270.24547660001554;None;None;270.24547660001554;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;012_o_f_s_a.jpg;sad;7;16;m;016_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;1;238;block1_Pilot_2;12;s_h;s_h_strong;;;;;0;0;0;0;0;32;32;32;;;;;;;;;273.2458379000891;None;275.2317404001951;275.5305122002028;275.5305122002028;275.5382569001522;275.5382569001522;275.57904310012236;275.57904310012236;None;None;0;275.57904310012236;None;277.07911970000714;None;None;277.07911970000714;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_n_a.jpg;neutral;8;21;f;021_o_f_n_a.jpg;neutral;congruent;8;match;;140;170;;3;220;block1_Pilot_2;28;n_n;n_n_weak;;;;;0;0;0;0;0;33;33;33;;;;;;;;;280.0796531001106;None;282.03255150001496;282.3224142000545;282.3224142000545;282.3470840000082;282.3470840000082;282.3878282001242;282.3878282001242;None;None;0;282.3878282001242;None;283.88754530018196;None;None;283.88754530018196;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;040_y_f_h_a.jpg;happy;9;33;m;033_o_m_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;194;block1_Pilot_2;40;h_s;h_s_weak;;;;;0;0;0;0;0;34;34;34;;;;;;;;;286.88776000007056;None;288.51234140014276;288.80534640001133;288.80534640001133;288.8220615000464;288.8220615000464;288.8625957001932;288.8625957001932;None;None;0;288.8625957001932;None;290.3627825002186;None;None;290.3627825002186;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_h_a.jpg;happy;9;8;m;008_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;162;block1_Pilot_2;28;h_n;h_n_weak;;;;;0;0;0;0;0;35;35;35;;;;;;;;;293.36288900021464;None;294.7253659002017;295.01387930009514;295.01387930009514;295.0386489001103;295.0386489001103;295.0794579000212;295.0794579000212;None;None;0;295.0794579000212;None;296.5794875000138;None;None;296.5794875000138;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
