Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.started,key_resp_Rating.stopped,key_resp_Rating.rt,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,f,040_y_f_n_a.jpg,neutral,8,40,f,040_y_f_s_a.jpg,sad,incongruent,7,match,,140,160,,2,123,block1_Pilot_2,40,n_s,n_s_weak,,,,,0,0,0,0,0,26,26,26,,,,,,,,,375.1766017000191,None,376.22149240016006,376.5114008001983,376.5114008001983,376.5275983000174,376.5275983000174,376.568236600142,376.568236600142,None,8,0,0.9652935001067817,376.568236600142,None,378.0692587001249,None,['7'],378.0692587001249,None,[0.2563277999870479],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_s_a.jpg,sad,7,27,m,027_o_m_s_a.jpg,sad,congruent,7,mismatch,,130,160,,3,159,block1_Pilot_2,28,s_s,s_s_weak,,,,,0,0,0,0,0,27,27,27,,,,,,,,,381.0694453001488,None,382.4050543999765,382.6945897999685,382.6945897999685,382.71927720005624,382.71927720005624,382.76013389998116,382.76013389998116,None,7,1,1.4452474999707192,382.76013389998116,None,384.26030079997145,None,['7'],384.26030079997145,None,[0.9289987999945879],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_s_a.jpg,sad,7,27,m,027_o_m_s_a.jpg,sad,congruent,7,mismatch,,130,160,,18,166,block1_Pilot_2,12,s_s,s_s_weak,,,,,0,0,0,0,0,28,28,28,,,,,,,,,387.2605362001341,None,388.6506988001056,388.9445170001127,388.9445170001127,389.0944585001562,389.0944585001562,389.13488330016844,389.13488330016844,None,7,1,0.7666784999892116,389.13488330016844,None,390.635429300135,None,['7'],390.635429300135,None,[0.23383419984020293],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_n_a.jpg,neutral,8,28,f,028_y_f_h_a.jpg,happy,incongruent,9,match,,140,150,,2,186,block1_Pilot_2,28,n_h,n_h_weak,,,,,0,0,0,0,0,29,29,29,,,,,,,,,393.6351144001819,None,395.2102079000324,395.5028709000908,395.5028709000908,395.5191748000216,395.5191748000216,395.5600861001294,395.5600861001294,None,8,0,1.2532232000958174,395.5600861001294,None,397.0601345000323,None,['7'],397.0601345000323,None,[0.3852956001646817],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,027_o_m_n_a.jpg,neutral,8,16,m,016_y_m_n_a.jpg,neutral,congruent,8,match,,140,170,,2,188,block1_Pilot_2,27,n_n,n_n_weak,,,,,0,0,0,0,0,30,30,30,,,,,,,,,400.0602665001061,None,401.6470854000654,401.93679230008274,401.93679230008274,401.9527356000617,401.9527356000617,401.9934289001394,401.9934289001394,None,8,1,1.3078749000560492,401.9934289001394,None,403.4935838000383,None,"['7', '8']",403.4935838000383,None,"[0.41573840007185936, 1.6557273000944406]",,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_s_a.jpg,sad,7,13,m,013_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,3,162,block1_Pilot_2,12,s_n,s_n_strong,,,,,0,0,0,0,0,31,31,31,,,,,,,,,406.4937039001379,None,407.847082399996,408.14457410015166,408.14457410015166,408.16949820006266,408.16949820006266,408.2101549000945,408.2101549000945,None,9,0,1.0270908998791128,408.2101549000945,None,409.7108164001256,None,['8'],409.7108164001256,None,[0.3584374999627471],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,012_o_f_s_a.jpg,sad,7,16,m,016_y_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,1,238,block1_Pilot_2,12,s_h,s_h_strong,,,,,0,0,0,0,0,32,32,32,,,,,,,,,412.71241450007074,None,414.6963169001974,414.9944905000739,414.9944905000739,415.0028062001802,415.0028062001802,415.0435387000907,415.0435387000907,None,None,0,,415.0435387000907,None,416.54365710006095,None,['8'],416.54365710006095,None,[0.7496373001486063],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_n_a.jpg,neutral,8,21,f,021_o_f_n_a.jpg,neutral,congruent,8,match,,140,170,,3,220,block1_Pilot_2,28,n_n,n_n_weak,,,,,0,0,0,0,0,33,33,33,,,,,,,,,419.54494890011847,None,421.47753130015917,421.77048740000464,421.77048740000464,421.79497919999994,421.79497919999994,421.83572630002163,421.83572630002163,None,8,1,0.74551280005835,421.83572630002163,None,423.3356055000331,None,['7'],423.3356055000331,None,[0.23760530003346503],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_h_a.jpg,happy,9,33,m,033_o_m_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,2,194,block1_Pilot_2,40,h_s,h_s_weak,,,,,0,0,0,0,0,34,34,34,,,,,,,,,426.33559789997526,None,427.96125739999115,428.2531942999922,428.2531942999922,428.26992210000753,428.26992210000753,428.3108690001536,428.3108690001536,None,9,0,0.9423430000897497,428.3108690001536,None,429.81061609997414,None,['7'],429.81061609997414,None,[0.6505349001381546],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_h_a.jpg,happy,9,8,m,008_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,3,162,block1_Pilot_2,28,h_n,h_n_weak,,,,,0,0,0,0,0,35,35,35,,,,,,,,,432.81076820008457,None,434.17360390000977,434.4618909000419,434.4618909000419,434.4868338999804,434.4868338999804,434.52733640000224,434.52733640000224,None,9,0,0.6698612000327557,434.52733640000224,None,436.02758660004474,None,['7'],436.02758660004474,None,[0.2897065000142902],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_n_a.jpg,neutral,8,27,m,027_o_m_n_a.jpg,neutral,congruent,8,match,,140,170,,2,126,block1_Pilot_2,13,n_n,n_n_strong,,,,,0,0,0,0,0,36,36,36,,,,,,,,,439.02754639997147,None,440.1469395000022,440.4372915001586,440.4372915001586,440.45393000007607,440.45393000007607,440.4942757000681,440.4942757000681,None,8,1,0.8310946000274271,440.4942757000681,None,441.9941676000599,None,['7'],441.9941676000599,None,[0.5549784998875111],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_s_a.jpg,sad,7,19,f,019_m_f_n_a.jpg,neutral,incongruent,8,match,,130,170,,2,156,block1_Pilot_2,28,s_n,s_n_strong,,,,,0,0,0,0,0,37,37,37,,,,,,,,,444.9948237000499,None,446.3056720001623,446.59519560006447,446.59519560006447,446.611726900097,446.611726900097,446.6525238000322,446.6525238000322,None,9,0,0.7366861999034882,446.6525238000322,None,448.1527140000835,None,['7'],448.1527140000835,None,[0.40445740008726716],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
